date,daily_ride_count,PRCP,TAVG,TMAX,TMIN
2022-01-18,42935,0.0,1.8,3.3,-0.5
2022-01-31,22349,0.0,-3.4,-1.0,-7.1
2022-02-04,20309,18.8,5.8,12.8,-2.1
2022-02-19,32450,0.0,0.1,5.0,-3.8
2022-02-23,66325,0.0,14.4,20.0,2.2
2022-03-05,51358,0.0,3.1,7.2,-0.5
2022-03-30,61254,0.0,2.6,8.3,-1.0
2022-05-03,92564,0.0,12.4,16.1,10.0
2022-05-14,79812,7.1,17.9,23.3,14.4
2022-05-22,103604,0.0,27.8,33.3,21.7
2022-05-23,101563,0.0,21.0,22.8,16.7
2022-05-29,101235,0.0,20.7,26.1,16.7
2022-06-03,120876,0.0,19.5,23.9,16.1
2022-06-15,127915,0.0,23.3,27.2,19.4
2022-07-04,94692,0.0,25.6,30.6,20.0
2022-07-22,111786,0.0,30.9,35.6,26.1
2022-07-25,96351,19.3,29.8,31.7,23.3
2022-09-15,132381,0.0,21.8,23.3,18.3
2022-09-22,102216,4.3,21.8,25.6,14.4
2022-09-23,113272,0.0,15.1,17.8,11.1
2022-10-06,123901,0.0,17.6,24.4,13.9
2022-10-23,66604,0.0,14.7,16.7,13.3
2022-10-28,106226,0.0,11.3,14.4,7.8
2022-10-29,105008,0.0,10.8,15.0,7.2
2022-11-23,73869,0.0,9.4,12.8,6.1
2022-11-28,73068,0.0,12.2,13.3,5.6
